Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
1.15,1.5,8700,0,6,0,1,1,1
1.15,2.4,7000,0,8,0,1,1,1
1.15,1.4,35000,0,6,0,1,1,1
1.15,1.47,17000,0,7,0,1,1,1
1.11,1.47,17500,0,7,0,1,1,1
1.1,1.47,33000,0,9,0,1,1,1
1.1,1.9,14000,0,7,0,1,1,1
1.1,1.47,26000,0,7,0,1,1,1
1.05,1.9,5400,0,9,0,1,1,1
1.05,1.26,5700,0,6,0,1,1,1
1.05,1.5,6900,0,11,0,1,1,1
1.05,1.17,6000,0,6,0,1,1,1
1.0,1.47,46500,0,9,0,1,1,1
0.95,1.75,11500,0,10,0,1,1,1
0.9,1.75,40000,0,13,0,1,1,1
0.9,0.95,1300,0,5,0,1,1,1
0.75,0.8,7000,0,6,0,1,1,1
0.8,0.87,3000,0,5,0,1,1,1
0.78,0.84,5000,0,5,0,1,1,1
0.75,0.87,11000,0,5,0,1,1,1
0.75,0.82,18000,0,7,0,1,1,1
0.75,0.95,3500,0,5,0,1,1,1
0.72,0.95,500,0,6,0,1,1,1
0.65,0.81,11800,0,5,0,1,1,1
0.65,0.74,5000,0,7,0,1,1,1
0.65,1.2,23500,0,8,0,1,1,1
0.65,0.787,16000,0,9,0,1,1,1
0.6,0.87,15000,0,6,0,1,1,1
0.6,0.95,16600,0,7,0,1,1,1
0.6,1.2,32000,0,9,0,1,1,1
0.6,0.8,20000,0,6,0,1,1,1
0.6,0.84,29000,0,7,0,1,1,1
0.6,0.84,25000,0,6,0,1,1,1
0.6,0.99,25000,0,8,0,1,1,1
0.6,0.81,19000,0,10,0,1,1,1
0.55,0.787,15000,0,8,0,1,1,1
0.55,0.84,58000,0,7,0,1,1,1
0.52,0.94,45000,0,12,0,1,1,1
0.51,0.94,24000,0,6,0,1,1,1
0.5,0.826,6000,0,11,0,1,1,1
0.5,0.55,31000,0,6,0,1,1,1
0.5,0.99,13000,0,10,0,1,1,1
0.5,0.99,45000,0,9,0,1,1,1
0.5,0.88,8000,0,8,0,1,1,1
0.48,0.51,4300,0,5,0,1,1,0
0.48,0.52,15000,0,5,0,1,1,1
0.48,0.84,23000,0,7,0,1,1,1
0.48,0.54,8600,0,5,0,1,1,1
0.45,0.51,4000,0,5,0,1,1,0
0.45,0.95,24000,0,11,0,1,1,1
0.45,0.826,23000,0,8,0,1,1,1
0.45,0.99,14500,0,10,0,1,1,1
0.45,0.95,27000,0,12,0,1,1,1
0.45,0.54,14000,0,6,0,1,1,1
0.45,0.54,500,0,6,0,1,1,0
0.45,0.55,1000,0,6,0,1,1,1
0.42,0.81,42000,0,8,0,1,1,1
0.42,0.73,12000,0,9,0,1,1,1
0.4,0.54,14000,0,7,0,1,1,1
0.4,0.83,5500,0,10,0,1,1,1
0.4,0.55,6700,0,7,0,1,1,1
0.4,0.64,13700,0,8,0,1,1,1
0.4,0.51,1300,0,5,0,1,1,0
0.38,0.72,38600,0,7,0,1,1,1
0.38,0.787,75000,0,11,0,1,1,1
0.35,1.05,30000,0,11,0,1,1,1
0.35,0.57,24000,0,6,0,1,1,0
0.35,0.52,19000,0,8,0,1,1,0
0.31,1.05,213000,0,12,0,1,1,1
0.3,0.51,60000,0,10,0,1,1,1
0.3,0.48,50000,0,6,0,1,1,1
0.3,0.58,30000,0,9,0,1,1,1
0.27,0.47,21000,0,9,0,1,1,1
0.25,0.75,26000,1,14,0,1,1,1
0.25,0.58,1900,0,14,0,1,1,0
0.25,0.52,22000,0,12,0,1,1,0
0.25,0.51,32000,0,9,0,1,1,1
0.25,0.57,18000,0,9,0,1,1,1
0.2,0.57,55000,0,17,0,1,1,1
0.2,0.75,60000,0,14,0,1,1,1
0.2,0.57,25000,1,10,0,1,1,1
0.2,0.75,49000,1,15,0,1,1,1
0.2,0.65,24000,1,9,0,1,1,1
0.2,0.787,50000,0,14,0,1,1,1
0.18,0.32,35000,0,7,0,1,1,1
0.17,0.52,500000,0,14,0,1,1,0
0.16,0.51,33000,0,12,0,1,1,1
0.15,0.57,35000,1,11,0,1,1,1
0.12,0.58,53000,0,15,0,1,1,1
0.1,0.75,92233,0,16,0,1,1,1
3.25,6.79,58000,1,12,1,0,0,1
4.4,5.7,28200,0,7,0,1,0,1
2.95,4.6,53460,0,11,0,1,0,1
2.75,4.43,28282,0,7,0,1,0,1
5.25,5.7,3493,1,6,0,1,0,1
5.75,7.13,12479,0,5,0,1,0,1
5.15,5.7,34797,0,7,0,1,0,0
7.9,8.1,3435,0,5,0,1,0,1
4.85,5.7,21125,0,7,1,0,0,1
3.1,4.6,35775,0,10,0,1,0,1
11.75,14.79,43535,0,7,1,0,0,1
11.25,13.6,22671,0,6,0,1,0,1
2.9,6.79,31604,0,11,0,1,0,1
5.25,5.7,20114,0,5,0,1,0,1
4.5,9.4,36100,0,10,0,1,0,1
2.9,4.43,12500,0,6,0,1,0,1
3.15,4.43,15000,0,6,0,1,0,1
6.45,9.4,45078,0,8,0,1,0,1
4.5,9.4,36000,0,10,0,1,0,1
3.5,4.43,38488,0,5,0,1,0,1
4.5,6.79,32000,0,9,0,1,0,0
6.0,7.6,77632,0,8,1,0,0,1
8.25,9.4,61381,0,7,1,0,0,1
5.11,9.4,36198,0,9,0,1,0,0
2.7,4.6,22517,0,11,0,1,0,1
5.25,5.7,24678,0,7,0,1,0,1
2.55,4.43,57000,0,11,0,1,0,1
4.95,9.4,60000,0,10,1,0,0,1
3.1,6.79,52132,0,10,1,0,0,1
6.15,9.4,45000,0,9,1,0,0,1
9.25,9.4,15001,0,5,0,1,0,1
11.45,14.79,12900,0,7,0,1,0,0
3.9,5.7,53000,0,9,1,0,0,1
5.5,5.7,4492,0,7,0,1,0,1
9.1,9.4,15141,0,5,0,1,0,1
3.1,4.43,11849,0,6,0,1,0,1
11.25,13.6,68000,0,7,1,0,0,1
4.8,9.4,60241,0,9,0,1,0,1
2.0,4.43,23709,0,10,0,1,0,1
5.35,9.4,32322,0,10,1,0,0,1
4.75,7.13,35866,1,7,0,1,0,1
